country,dish
Afghanistan,Kabuli Palaw
Albania,Tavë kosi
Algeria,Couscous 
Angola,Moamba de galinha 
Antigua and Barbuda,"Pepperpot, Fungee"
Argentina,Asado
Armenia,"Harissa, Dolma, Khorovats"
Aruba,Keshi yena
Australia,"Meat pie,Roast lamb "
Austria,"Wiener schnitzel, Tafelspitz"
Azerbaijan,Dolma
Bahamas,Crack conch with peas and rice 
Bahrain,Machboos
Bangladesh,"Rice, Fish, Chicken Korma"
Barbados,Cou-Cou and Flying Fish 
Belarus,Draniki
Belgium,Moules-frites
Belize,Boil up
Bermuda,Bermuda fish chowder
Bhutan,Ema datshi
Bolivia,Salteñas
Bosnia and Herzegovina,Bosnian pot
Botswana,Seswaa
Brazil,Feijoada
Brunei,Ambuyat
Bulgaria,"Banitsa, Bob chorba"
Burma,Mohinga
Cambodia,Amok trey
Cameroon,Ndolé
Canada,Kraft Dinner
Cape Verde,Cachupa
Chile,Empanada
China,Peking Duck
Hong Kong,Char siu
Macau,Minchee 
Colombia,"Ajiaco, Bandeja paisa"
Costa Rica,Gallo pinto
Ivory Coast,"Fufu, Kedjenou"
Croatia,Istrian stew
Cuba,"Ropa vieja, Moros y cristianos"
Cyprus,Fasolada
Czech Republic,roast pork with dumplings and sauerkraut
Democratic Republic of the Congo,Poulet à la Moambé
Denmark,fried pork and potato-based dish
Greenland,Kiviak
Dominica,"Mountain chicken, Fish broth"
Dominican Republic,"rice, red beans, and meat"
Ecuador,"Encebollado, Fritada,Guatitas,"
Egypt,"Ful medames, kushari,"
El Salvador,Pupusa
Eritrea,"Zigini with injera, Gored gored, raw meat"
Estonia,sauerkraut stew
Ethiopia,"Wat with injera, Fit-fit"
Finland,"Karjalanpaisti,Mämmi, Sautéed reindeer"
France,"Crêpe, Pot-au-feu,Macaron, Bisque"
Gabon,Poulet Nyembwe
Georgia,"Khachapuri, khinkali"
Germany,"Currywurst, Sauerbraten, Bratwurst"
Ghana,Fufu
Greece,"Fasolada,Moussaka, Souvlaki"
Grenada,Oil Down
Guatemala,"Fiambre, Pepian (hearty meat stew)"
Guyana,Pepperpot
Haiti,Red beans and rice 
Honduras,"Baleada, Carne asada, Sopa de Caracol (Conch Soup)"
Hungary,"Gulyás,"
Iceland,"Hákarl, Þorramatur"
India,No officially anointed national dish
Indonesia,"Tumpeng Sate,Soto,Nasi goreng"
Iran,"Chelo kabab, Ghormeh sabzi"
Iraq,"Samak masgouf,Kleicha"
Ireland,"Colcannon,Irish stew "
Israel,"Hummus, falafel, Meorav Yerushalmi"
Italy,"Pasta,Polenta,Pizza, Risotto"
Jamaica,"Ackee and Saltfish, Jamaican patty"
Japan,"Sushi, Japanese curry,Ramen "
Jordan,Mansaf
Kazakhstan,"Beshbarmak, Shalgam"
Kenya,"Ugali, Sukuma wiki, Nyama choma"
Kuwait,Machboos
Kyrgyzstan,"Beshbarmak, Laghman, Kuurdak"
Laos,"Tum Mak Hoong (Som Tum, its Thai name)"
Latvia,Latke
Lebanon,Kibbeh
Libya,"Bazeen, Usban"
Lithuania,Cepelinai
Luxembourg,"Judd mat Gaardebounen, Bouneschlupp"
Macedonia,Tavče Gravče
Madagascar,Romazava 
Malaysia,"Nasi lemak,Satay, Laksa, Roti canai"
Malta,"Pastizzi, Rabbit Stew (Fenkata)"
Mauritania,"Thieboudienne, Couscous"
Mexico,"Tacos, Mole poblano,Chiles en nogada"
Moldova,"Mămăligă, Sarmale, Răcituri"
Mongolia,Buuz
Montenegro,"Kačamak, Raštan"
Morocco,"Couscous, Tagine"
Nicaragua,Gallo pinto 
Nigeria,Jollof rice
Nepal,Dal bhat 
Netherlands,"Stamppot, hutspot"
New Zealand,"Bacon and egg pie, lamb, pavlova"
North Korea,"Galbi, Kimchi"
Norway,Fårikål
Pakistan,"Biryani, Nihari"
Panama,Sancocho de gallina
Palestine,"Arab salad, Falafel, Mujaddara, Musakhan, Hummus with tahini"
Paraguay,Sopa paraguaya
Peru,Ceviche
Philippines,"Adobo,Lechon (both unofficial)"
Poland,"Bigos, Pierogi,Kotlet schabowy, Żurek"
Portugal,Bacalhau
Puerto Rico,"Arroz con gandules, Mofongo"
Republic of the Congo,Poulet Moambé 
Romania,"Mămăligă, Sarmale, Mici"
Russia,"Pelmeni, Shchi, Kasha,Pirogi, Pirozhki"
Republic of Tatarstan,Öçpoçmaq
"Tula, Russia",Tula gingerbread
San Marino,Torta Tre Monti
Saudi Arabia,Kabsa
Senegal,Thieboudienne
Serbia,"Ćevapčići, Pljeskavica, Ražnjići, Proja, Kajmak"
Slovakia,Bryndzové halušky
Slovenia,"Ajdovi žganci, Belokranjska povitica, Obara"
Singapore,"Chilli crab,Hainanese Chicken Rice"
Somalia,Canjeero with goat stew
South Africa,Bobotie
South Korea,"Kimchi, bulgogi"
Spain,Tortilla española 
Andalusia,Gazpacho
Asturias,Fabada asturiana
Basque Country,"Marmitako, Chistorras"
Canary Islands,"Ropa vieja, Papas arrugadas"
Galicia,"Empanada, Polbo á feira"
Valencian Community,Paella
Sri Lanka,Rice and curry
Sudan,Ful medames
Sweden,"Köttbullar, Kräftskiva,Surströmming,Ostkaka"
Switzerland,"Cervelat,Fondue, Rösti"
Syria,Kibbeh
Tajikistan,O'sh (pilaf)
Taiwan,Beef noodle soup
Tanzania,Ugali
Thailand,"Pad Thai, Tom Yum Goong"
Trinidad and Tobago,"Callaloo,Doubles"
Turkey,"Döner kebab, Kuru fasulye with pilav"
Tunisia,"Couscous, Kabkabou"
Turkmenistan,Palaw
Uganda,Matoke
Ukraine,"Borscht, Varenyky "
United Kingdom,"Fish and chips,Chicken tikka masala (Indian-British curry)"
England,"Beef,(especially roast beef/corned beef),Pudding "
Cornwall,Cornish pasty
Northern Ireland,Ulster fry
Isle of Man,Skeddan jiarg
Scotland,Haggis
Wales,Cawl
United States,"Hamburger, Hot dog, Fried chicken, Buffalo wings, Apple pie"
United States Virgin Islands,Fish and Fungi
Uruguay,"Asado, Chivito"
Uzbekistan,O'sh
Vanuatu,Lap lap
Venezuela,Pabellón criollo
Vietnam,"Phở, Bún bò Huế"
Yemen,Saltah
Zimbabwe,Sadza
