country,independence
Afghanistan,1919
Angola,1975
Albania,1912
Andorra,1278
United Arab Emirates,1971
Argentina,1816
Armenia,1991
Antigua and Barbuda,1981
Australia,1901
Austria,1918
Azerbaijan,1991
Burundi,1962
Belgium,1830
Benin,1960
Burkina Faso,1960
Bangladesh,1971
Bulgaria,1908
Bahrain,1971
Bahamas,1973
Bosnia and Herzegovina,1992
Belarus,1991
Belize,1981
Bolivia,1825
Brazil,1822
Barbados,1966
Brunei,1984
Bhutan,1910
Botswana,1966
Central African Republic,1960
Canada,1867
Chile,1810
China,-1523
Ivory Coast,1960
Cameroon,1960
"Congo, The Democratic Republic of the",1960
Congo,1960
Colombia,1810
Comoros,1975
Cape Verde,1975
Costa Rica,1821
Cuba,1902
Cyprus,1960
Czech Republic,1993
Germany,1955
Djibouti,1977
Dominica,1978
Denmark,800
Dominican Republic,1844
Algeria,1962
Ecuador,1822
Egypt,1922
Eritrea,1993
Spain,1492
Estonia,1991
Ethiopia,-1000
Finland,1917
Fiji Islands,1970
France,843
"Micronesia, Federated States of",1990
Gabon,1960
United Kingdom,1066
Georgia,1991
Ghana,1957
Guinea,1958
Gambia,1965
Guinea-Bissau,1974
Equatorial Guinea,1968
Greece,1830
Grenada,1974
Guatemala,1821
Guyana,1966
Honduras,1838
Croatia,1991
Haiti,1804
Hungary,1918
Indonesia,1945
India,1947
Ireland,1921
Iran,1906
Iraq,1932
Iceland,1944
Israel,1948
Italy,1861
Jamaica,1962
Jordan,1946
Japan,-660
Kazakstan,1991
Kenya,1963
Kyrgyzstan,1991
Cambodia,1953
Kiribati,1979
Saint Kitts and Nevis,1983
South Korea,1948
Kuwait,1961
Laos,1953
Lebanon,1941
Liberia,1847
Libyan Arab Jamahiriya,1951
Saint Lucia,1979
Liechtenstein,1806
Sri Lanka,1948
Lesotho,1966
Lithuania,1991
Luxembourg,1867
Latvia,1991
Morocco,1956
Monaco,1861
Moldova,1991
Madagascar,1960
Maldives,1965
Mexico,1810
Marshall Islands,1990
Macedonia,1991
Mali,1960
Malta,1964
Myanmar,1948
Mongolia,1921
Mozambique,1975
Mauritania,1960
Mauritius,1968
Malawi,1964
Malaysia,1957
Namibia,1990
Niger,1960
Nigeria,1960
Nicaragua,1838
Netherlands,1581
Norway,1905
Nepal,1769
Nauru,1968
New Zealand,1907
Oman,1951
Pakistan,1947
Panama,1903
Peru,1821
Philippines,1946
Palau,1994
Papua New Guinea,1975
Poland,1918
North Korea,1948
Portugal,1143
Paraguay,1811
Qatar,1971
Romania,1878
Russian Federation,1991
Rwanda,1962
Saudi Arabia,1932
Sudan,1956
South Sudan,2011
Senegal,1960
Singapore,1965
Solomon Islands,1978
Sierra Leone,1961
El Salvador,1841
San Marino,885
Somalia,1960
Sao Tome and Principe,1975
Suriname,1975
Slovakia,1993
Slovenia,1991
Sweden,836
Swaziland,1968
Switzerland,1499
Seychelles,1976
Syria,1941
Chad,1960
Togo,1960
Thailand,1350
Tajikistan,1991
Turkmenistan,1991
Tonga,1970
Trinidad and Tobago,1962
Tunisia,1956
Turkey,1923
Tuvalu,1978
Taiwan,1945
Tanzania,1961
Uganda,1962
Ukraine,1991
Uruguay,1828
United States,1776
Uzbekistan,1991
Holy See (Vatican City State),1929
Saint Vincent and the Grenadines,1979
Venezuela,1811
Vietnam,1945
Vanuatu,1980
Samoa,1962
Yemen,1918
Yugoslavia,1918
South Africa,1910
Zambia,1964
Zimbabwe,1980
