country,density
Afghanistan,46.800
Albania,101.230
Algeria,16.460
American Samoa,275.830
Andorra,168.550
Angola,17.220
Antigua and Barbuda,204.510
Argentina,15.140
Armenia,104.550
Aruba,571.730
Australia,3.010
Austria,102.830
Azerbaijan,113.920
"Bahamas, The",37.700
Bahrain,1752.860
Bangladesh,1203.000
Barbados,661.960
Belarus,46.650
Belgium,369.720
Belize,14.550
Benin,91.550
Bermuda,1300.480
Bhutan,19.780
Bolivia,9.850
Bosnia and Herzegovina,75.080
Botswana,3.570
Brazil,23.970
Brunei Darussalam,79.280
Bulgaria,66.920
Burkina Faso,61.900
Burundi,395.740
Cabo Verde,123.800
Cambodia,85.740
Cameroon,47.080
Canada,3.870
Cayman Islands,243.480
Central African Republic,7.410
Chad,10.190
Channel Islands,852.730
Chile,23.700
China,144.580
Colombia,43.550
Comoros,394.900
"Congo, Dem. Rep.",29.780
"Congo, Rep.",13.020
Costa Rica,95.420
Ivory Coast,63.890
Croatia,76.000
Cuba,105.840
Curacao,345.720
Cyprus,123.500
Czech Republic,136.240
Denmark,132.310
Djibouti,37.660
Dominica,96.000
Dominican Republic,215.310
Ecuador,63.370
"Egypt, Arab Rep.",82.430
El Salvador,306.010
Equatorial Guinea,26.990
Eritrea,62.700
Estonia,31.250
Ethiopia,94.100
Faeroe Islands,35.440
Fiji,48.220
Finland,17.900
France,120.590
French Polynesia,75.640
Gabon,6.490
"Gambia, The",182.740
Georgia,78.320
Germany,231.310
Ghana,113.850
Greece,85.590
Greenland,0.140
Grenada,311.460
Guam,305.790
Guatemala,144.350
Guinea,47.800
Guinea-Bissau,60.610
Guyana,4.060
Haiti,374.360
Honduras,72.370
"Hong Kong SAR, China",6845.240
Hungary,109.330
Iceland,3.220
India,421.140
Indonesia,124.000
"Iran, Islamic Rep.",47.560
Iraq,76.940
Ireland,66.700
Isle of Man,150.680
Israel,372.430
Italy,203.410
Jamaica,250.690
Japan,349.290
Jordan,72.750
Kazakhstan,6.310
Kenya,77.930
Kiribati,126.360
"Korea, Dem. Rep.",206.760
"Korea, Rep.",515.870
Kosovo,167.540
Kuwait,189.030
Kyrgyz Republic,29.820
Lao PDR,29.330
Latvia,32.380
Lebanon,436.700
Lesotho,68.330
Liberia,44.580
Libya,3.520
Liechtenstein,230.780
Lithuania,47.170
Luxembourg,209.730
"Macao SAR, China",18942.310
"Macedonia, FYR",83.550
Madagascar,39.400
Malawi,173.550
Malaysia,90.450
Maldives,1150.080
Mali,12.540
Malta,1322.760
Marshall Islands,292.410
Mauritania,3.770
Mauritius,638.570
Mexico,62.930
"Micronesia, Fed. Sts.",147.930
Moldova,124.020
Monaco,18915.500
Mongolia,1.830
Montenegro,46.200
Morocco,73.960
Mozambique,32.850
Myanmar,81.520
Namibia,2.800
Nepal,193.910
Netherlands,498.350
New Caledonia,14.330
New Zealand,16.980
Nicaragua,50.530
Niger,14.080
Nigeria,190.620
Northern Mariana Islands,117.080
Norway,13.920
Oman,11.740
Pakistan,236.280
Palau,45.470
Panama,51.980
Papua New Guinea,16.170
Paraguay,17.120
Peru,23.730
Philippines,329.990
Poland,125.830
Portugal,114.200
Puerto Rico,407.560
Qatar,186.790
Romania,86.790
Russian Federation,8.760
Rwanda,477.360
Samoa,67.270
San Marino,524.130
Sao Tome and Principe,201.030
Saudi Arabia,13.410
Senegal,73.410
Serbia,81.910
Seychelles,193.850
Sierra Leone,84.400
Singapore,7713.140
Sint Maarten (Dutch part),1167.320
Slovak Republic,112.590
Slovenia,102.310
Solomon Islands,20.050
Somalia,16.730
South Africa,43.680
South Sudan,0.000
Spain,93.520
Sri Lanka,326.630
St. Kitts and Nevis,208.430
St. Lucia,298.810
St. Martin (French part),574.710
St. Vincent and the Grenadines,280.440
Sudan,20.730
Suriname,3.460
Swaziland,72.650
Sweden,23.550
Switzerland,204.510
Syrian Arab Republic,124.410
Tajikistan,58.640
Tanzania,55.600
Thailand,131.160
Timor-Leste,79.240
Togo,125.340
Tonga,146.280
Trinidad and Tobago,261.430
Tunisia,70.070
Turkey,97.360
Turkmenistan,11.150
Turks and Caicos Islands,34.840
Tuvalu,329.200
Uganda,188.070
Ukraine,78.520
United Arab Emirates,111.800
United Kingdom,264.940
United States,34.560
Uruguay,19.470
Uzbekistan,71.090
Vanuatu,20.740
"Venezuela, RB",34.470
Vietnam,289.320
Virgin Islands (U.S.),299.250
West Bank and Gaza,692.610
"Yemen, Rep.",46.230
Zambia,19.560
Zimbabwe,36.580
