country,region
Aruba,Caribbean
Afghanistan,Southern and Central Asia
Angola,Central Africa
Anguilla,Caribbean
Albania,Southern Europe
Andorra,Southern Europe
Netherlands Antilles,Caribbean
United Arab Emirates,Middle East
Argentina,South America
Armenia,Middle East
American Samoa,Polynesia
Antarctica,Antarctica
French Southern territories,Antarctica
Antigua and Barbuda,Caribbean
Australia,Australia and New Zealand
Austria,Western Europe
Azerbaijan,Middle East
Burundi,Eastern Africa
Belgium,Western Europe
Benin,Western Africa
Burkina Faso,Western Africa
Bangladesh,Southern and Central Asia
Bulgaria,Eastern Europe
Bahrain,Middle East
Bahamas,Caribbean
Bosnia and Herzegovina,Southern Europe
Belarus,Eastern Europe
Belize,Central America
Bermuda,North America
Bolivia,South America
Brazil,South America
Barbados,Caribbean
Brunei,Southeast Asia
Bhutan,Southern and Central Asia
Bouvet Island,Antarctica
Botswana,Southern Africa
Central African Republic,Central Africa
Canada,North America
Cocos (Keeling) Islands,Australia and New Zealand
Switzerland,Western Europe
Chile,South America
China,Eastern Asia
Ivory Coast,Western Africa
Cameroon,Central Africa
"Congo, The Democratic Republic of the",Central Africa
Congo,Central Africa
Cook Islands,Polynesia
Colombia,South America
Comoros,Eastern Africa
Cape Verde,Western Africa
Costa Rica,Central America
Cuba,Caribbean
Christmas Island,Australia and New Zealand
Cayman Islands,Caribbean
Cyprus,Middle East
Czech Republic,Eastern Europe
Germany,Western Europe
Djibouti,Eastern Africa
Dominica,Caribbean
Denmark,Nordic Countries
Dominican Republic,Caribbean
Algeria,Northern Africa
Ecuador,South America
Egypt,Northern Africa
Eritrea,Eastern Africa
Western Sahara,Northern Africa
Spain,Southern Europe
Estonia,Baltic Countries
Ethiopia,Eastern Africa
Finland,Nordic Countries
Fiji Islands,Melanesia
Falkland Islands,South America
France,Western Europe
Faroe Islands,Nordic Countries
"Micronesia, Federated States of",Micronesia
Gabon,Central Africa
United Kingdom,British Isles
Georgia,Middle East
Ghana,Western Africa
Gibraltar,Southern Europe
Guinea,Western Africa
Guadeloupe,Caribbean
Gambia,Western Africa
Guinea-Bissau,Western Africa
Equatorial Guinea,Central Africa
Greece,Southern Europe
Grenada,Caribbean
Greenland,North America
Guatemala,Central America
French Guiana,South America
Guam,Micronesia
Guyana,South America
Hong Kong,Eastern Asia
Heard Island and McDonald Islands,Antarctica
Honduras,Central America
Croatia,Southern Europe
Haiti,Caribbean
Hungary,Eastern Europe
Indonesia,Southeast Asia
India,Southern and Central Asia
British Indian Ocean Territory,Eastern Africa
Ireland,British Isles
Iran,Southern and Central Asia
Iraq,Middle East
Iceland,Nordic Countries
Israel,Middle East
Italy,Southern Europe
Jamaica,Caribbean
Jordan,Middle East
Japan,Eastern Asia
Kazakstan,Southern and Central Asia
Kenya,Eastern Africa
Kyrgyzstan,Southern and Central Asia
Cambodia,Southeast Asia
Kiribati,Micronesia
Saint Kitts and Nevis,Caribbean
South Korea,Eastern Asia
Kuwait,Middle East
Laos,Southeast Asia
Lebanon,Middle East
Liberia,Western Africa
Libyan Arab Jamahiriya,Northern Africa
Saint Lucia,Caribbean
Liechtenstein,Western Europe
Sri Lanka,Southern and Central Asia
Lesotho,Southern Africa
Lithuania,Baltic Countries
Luxembourg,Western Europe
Latvia,Baltic Countries
Macao,Eastern Asia
Morocco,Northern Africa
Monaco,Western Europe
Moldova,Eastern Europe
Madagascar,Eastern Africa
Maldives,Southern and Central Asia
Mexico,Central America
Marshall Islands,Micronesia
Macedonia,Southern Europe
Mali,Western Africa
Malta,Southern Europe
Myanmar,Southeast Asia
Mongolia,Eastern Asia
Northern Mariana Islands,Micronesia
Mozambique,Eastern Africa
Mauritania,Western Africa
Montserrat,Caribbean
Martinique,Caribbean
Mauritius,Eastern Africa
Malawi,Eastern Africa
Malaysia,Southeast Asia
Mayotte,Eastern Africa
Namibia,Southern Africa
New Caledonia,Melanesia
Niger,Western Africa
Norfolk Island,Australia and New Zealand
Nigeria,Western Africa
Nicaragua,Central America
Niue,Polynesia
Netherlands,Western Europe
Norway,Nordic Countries
Nepal,Southern and Central Asia
Nauru,Micronesia
New Zealand,Australia and New Zealand
Oman,Middle East
Pakistan,Southern and Central Asia
Panama,Central America
Pitcairn,Polynesia
Peru,South America
Philippines,Southeast Asia
Palau,Micronesia
Papua New Guinea,Melanesia
Poland,Eastern Europe
Puerto Rico,Caribbean
North Korea,Eastern Asia
Portugal,Southern Europe
Paraguay,South America
Palestine,Middle East
French Polynesia,Polynesia
Qatar,Middle East
Reunion,Eastern Africa
Romania,Eastern Europe
Russian Federation,Eastern Europe
Rwanda,Eastern Africa
Saudi Arabia,Middle East
Sudan,Northern Africa
South Sudan,Eastern Africa
Senegal,Western Africa
Singapore,Southeast Asia
South Georgia and the South Sandwich Islands,Antarctica
Saint Helena,Western Africa
Svalbard and Jan Mayen,Nordic Countries
Solomon Islands,Melanesia
Sierra Leone,Western Africa
El Salvador,Central America
San Marino,Southern Europe
Somalia,Eastern Africa
Saint Pierre and Miquelon,North America
Sao Tome and Principe,Central Africa
Suriname,South America
Slovakia,Eastern Europe
Slovenia,Southern Europe
Sweden,Nordic Countries
Swaziland,Southern Africa
Seychelles,Eastern Africa
Syria,Middle East
Turks and Caicos Islands,Caribbean
Chad,Central Africa
Togo,Western Africa
Thailand,Southeast Asia
Tajikistan,Southern and Central Asia
Tokelau,Polynesia
Turkmenistan,Southern and Central Asia
East Timor,Southeast Asia
Tonga,Polynesia
Trinidad and Tobago,Caribbean
Tunisia,Northern Africa
Turkey,Middle East
Tuvalu,Polynesia
Taiwan,Eastern Asia
Tanzania,Eastern Africa
Uganda,Eastern Africa
Ukraine,Eastern Europe
United States Minor Outlying Islands,Micronesia/Caribbean
Uruguay,South America
United States,North America
Uzbekistan,Southern and Central Asia
Holy See (Vatican City State),Southern Europe
Saint Vincent and the Grenadines,Caribbean
Venezuela,South America
British Virgin Islands,Caribbean
United States Virgin Islands,Caribbean
Vietnam,Southeast Asia
Vanuatu,Melanesia
Wallis and Futuna,Polynesia
Samoa,Polynesia
Yemen,Middle East
Yugoslavia,Southern Europe
South Africa,Southern Africa
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
